,sentiment,tweet
67741,1,"Bonjour, grève pour demain ?"
5885,1,Un petit coup de vent et la régularité déjà pas fameuse s’envole 😂
40506,1,"@RERB Bonjour...qqn a tapé ma vertèbre par accident, probablement avec la roulette de sa valise....il était en train de descendre la valise de l’espace luggage à la entrée de voiture. Je trouve ça très dangereux..."
112456,1,"@RERB Bonjour, pk les RER B n'ont pas de double étage comme sur la ligne A??"
28140,0,@RERB quelle horreur ce putain de rer b tout moisi et long
119930,1,@RERB.
126176,0,"@RERB magnifique après la journée d'hier, vous êtes des amateurs c'est dingue qd même"
107496,0,@RERB Les pros de la com : les horaires en ligne de Aéroport CDG vers gare du nord sont HS....
80510,0,"Et pas d'alerte sur l'application, bravo"
82076,1,Retard à Roissy vers Paris
45746,0,Cette journée avait bien commencé jusqu’à vos alertes sur la ligne ... inhumain encore une fois . 10 min de retard à gdn avec cette chaleur c’est juste inacceptable.
107343,1,ah oui... gros problème alors ! Merci pour votre réponse
129990,1,@RERB Pourquoi sommes nous arrêter en pleine voix depuis 5min entre Gare du Nord et La Plaine?!
86356,0,"Cela va être du politiquement correct? De la langue de bois à la stère? De la guimauve au quintal?
Pas de toxicité donc? Que du positif? De la novlangue?"
57726,1,Encore du retard le temps s'allonge
46792,0,Ca fait combien de train en panne ? L’objectif est de battre le record de 60 trains en panne d’ici la fin de l’année ?
126574,2,@RERB @ConstBlanchard merci pour l info. C'est sympa.  Bonne journée
16026,2,Merci ! Vous aussi !
95523,0,"Ca glisse, ça glisse #RERB #TeamRERB"
83078,2,"Bonjour, quelle la fréquence du RER B de la Gare du Nord vers CDG en ce moment ? J'ai compris que l'interconnexion à la Gare du Nord a été rétablie, c'est vrai? Merci beaucoup !"
110964,1,@RERB c'est la gare de Bagneux
62384,0,"Est-ce qu’on peut espérer un trafic normal vers 18h? Je sais, c’est pas Noël...mais juste 1 fois ds la semaine 🥺"
74850,1,"@RERB où sont les #RERB qui vont au Sud.
Les quais de Châtelet déborde sur ceux du #RERA au secours"
87929,0,Veuillez trouver ci-joint la raison de mon retard quotidien : @RERB
